# RELIQUARY — Kartentexte Chinesisch (vereinfacht)
# Blöcke: "## Englischer Name" als Schlüssel, dann n/s/lN/tN.
# Archetype-Namen (verbindlich): Apocrypha=伪典 Archfiend=狱魔 Barrierstruck=障壁
# Deathpoem=挽诗 Deckay=朽库 Dragon Shrine=龙祠 Failsafe=保险 Fethaerbreese=羽风
# Forgeheart=锻心 Gaslight=惑光 Genostitched=缝生 Gravemaw=墓喉 Heavenly=天界
# Hexweaver=咒织 Kindlekin=薪火 Lightless=无光 Lyria=莉里亚 Manacle=铁镣
# Mechination=机谋 Mimicrypt=拟墓 Paperbound=纸缚 Powderkeg=药桶 Redactor=涂墨
# Sacrilegion=渎圣军 Sleightwind=巧风 Slowburn=慢燃 Snugglet=偎偎兽 Tidebound=缚潮
# Trapline=陷线 Wyldpack=野群
## Abyss Titan
t1 支付2点法力：把你的1只里侧怪兽翻开。
## Lyria Prima Voce
n 莉里亚首席女声
l0 碎玻璃之音
t0 翻转：对手控制的1只怪兽永久失去500攻击力。
l1 独唱登场
t1 支付2点法力：把你的1只里侧怪兽翻开。
## Lyria Quiet Crescendo
n 莉里亚静默渐强
l0 静默渐强
t0 支付1点法力：你的里侧怪兽每有1只，你控制的1只怪兽获得300攻击力，直到本回合结束。
l1 最强音
t1 改为支付3点法力：该加成变为永久。
## Lyria Second Movement
n 莉里亚第二乐章
l0 第二乐章
t0 支付1点法力：从你的墓地把1只怪兽以里侧盖放到你的场上；获得1点法力。
l1 再现部
t1 改为支付3点法力：从你的墓地把2只“莉里亚”怪兽以里侧盖放；抽1张卡。
## Lyria Standing Room Only
n 莉里亚站票售罄
l0 站票售罄
t0 从你的手牌把至多2只“莉里亚”怪兽以里侧盖放。
l1 场场爆满
t1 改为支付3点法力：从你的手牌或墓地。
## Lyria Understage
n 莉里亚舞台下层
l0 活板门入场
t0 翻转：从你的卡组把1只1级“莉里亚”怪兽以里侧特殊召唤。
l1 回到台下
t1 支付1点法力：把此卡以里侧守备表示盖下。
## Lyria, the Encore Eternal
n 莉里亚·永恒安可
s 你控制3只以上里侧怪兽。费用3点法力。
l0 幕布升起
t0 此卡被召唤时：翻开你的所有里侧怪兽；它们获得300攻击力，直到本回合结束。
l1 重置舞台
t1 支付2点法力：把你的至多2只怪兽以里侧盖下。
## Lyria, the Final Overture
n 莉里亚·最终序曲
s 你控制2只以上里侧怪兽。费用2点法力。
l0 大幕拉开
t0 此卡被召唤时：翻开你控制的所有里侧怪兽。
## Lyria, the Grand Conductor
n 莉里亚·大指挥家
l0 各就各位
t0 此卡被召唤时：你可以把你控制的至多2只怪兽以里侧守备表示盖下。
l1 举起指挥棒
t1 你可以支付3点法力：把你控制的至多2只里侧怪兽翻开。
## Maeva the Pale
n 苍白的梅娃
l0 入暮
t0 每回合一次：你可以支付2点法力；把1只对手怪兽以里侧守备表示盖下。
## Magma Golem
n 熔岩魔像
l0 喷发
t0 此卡被召唤时：你可以支付2点法力；双方各受到500点伤害。
## Maiden of the Dragon Shrine
n 龙祠少女
l0 祠堂仪式
t0 此卡被特殊召唤的场合：你可以从卡组盖放1张提及“龙”的法术。它本回合就可以发动。
l1 龙祠的裁决
t1 支付4点法力；把此卡送入墓地，然后破坏双方场上所有非龙族怪兽。
## Mana Burn
n 法力燃烧
l0 抽干
t0 支付1点法力；对手失去2点法力。
l1 魂火
t1 支付2点法力；对手失去2点法力并受到400点伤害。
## Mana Crystal
n 法力水晶
l0 水晶涌流
t0 在你的准备阶段：你可以在本回合额外获得1点法力。
## Mana Font
n 法力泉
l0 浅酌
t0 支付1点法力：本回合获得2点法力。
l1 痛饮
t1 本回合获得4点法力。
## Mana Gatherer
n 法力采集者
l0 法力收成
t0 在你的准备阶段：你可以在本回合额外获得1点法力。
## Manacle Assessor
n 铁镣估价官
l0 估价
t0 此卡被召唤时：对手失去2点法力；你获得1点法力。
l1 重新估价
t1 你可以支付3点法力：对手失去2点法力，且你的下个回合多2点法力。
## Manacle Bailiff
n 铁镣法警
l0 封锁金库
t0 此卡被召唤时：对手的下个回合少2点法力。
l1 彻底封死
t1 改为支付3点法力：对手的下个回合少3点法力，你的下个回合多1点。
## Manacle Buyout
n 铁镣收购
l0 收购
t0 支付4点法力：把对手控制的1只怪兽返回持有者的手牌；抽1张卡。
l1 恶意收购
t1 改为支付6点法力：改为将其放逐；抽1张卡。
## Manacle Chancellor of Coin
n 铁镣钱币大臣
l0 查账
t0 此卡被召唤时，你有6点以上法力的场合：抽1张卡。
l1 查封资产
t1 支付3点法力：对手失去2点法力；你获得1点法力。
## Manacle Coinbiter
n 铁镣咬币者
l0 咬一咬成色
t0 每回合一次，双方回合皆可：对手失去1点法力。
l1 咬得更深
t1 改为支付2点法力：对手的下个回合少2点法力。
## Manacle Compound Interest
n 铁镣复利
l0 复利
t0 每回合一次：支付2点法力；你的下个回合多3点法力。
## Manacle Countinghouse
n 铁镣账房
l0 庄家总在数钱
t0 在你的准备阶段：获得1点法力。
l1 收账
t1 你可以支付2点法力：对手失去1点法力。
## Manacle Debt Collector
n 铁镣讨债人
s 你有5点以上可用法力。费用2点法力。
l0 上门讨债
t0 此卡被召唤时：对手的下个回合少2点法力。
l1 现在就拿走
t1 你可以支付2点法力：对手失去2点法力。
## Manacle Debtwarden
n 铁镣债狱看守
l0 记入债务
t0 此卡被召唤时：对手的下个回合少1点法力，你的下个回合多1点。
## Manacle Foreclosure
n 铁镣止赎
l0 止赎
t0 破坏对手控制的1只攻击力2000以下的怪兽；对手失去1点法力。
l1 全数收回
t1 改为支付5点法力：无攻击力上限。
## Manacle Gleaner
n 铁镣拾穗者
l0 拾穗
t0 每回合一次：获得1点法力。
## Manacle Hidden Fees
n 铁镣隐藏费用
l0 隐藏费用
t0 支付2点法力：对手的下个回合少2点法力。
l1 条款与条件
t1 改为支付4点法力：对手少3点，你的下个回合多1点。
## Manacle Ledgerkeeper
n 铁镣账簿管理员
l0 查阅账簿
t0 每回合一次：你可以支付1点法力；从你的卡组把1只1级暗属性怪兽加入手牌。
l1 揩点油
t1 你可以支付2点法力：对手失去1点法力，你获得1点法力。
## Manacle Levy
n 铁镣征税
l0 征税
t0 支付1点法力：对手失去2点法力。
## Manacle Loan Shark
n 铁镣高利贷鲨
l0 掠夺性条款
t0 此卡被召唤时：对手的下个回合少1点法力。
l1 变本加厉
t1 改为支付2点法力：对手的下个回合少2点法力。
l2 上门催收
t2 每回合一次：支付2点法力；对手的下个回合少1点法力。
## Manacle Pawnbroker
n 铁镣当铺老板
l0 开价
t0 此卡被召唤时：对手失去1点法力。
l1 复合条款
t1 改为支付2点法力：对手的下个回合也少1点法力。
## Manacle Reckoning
n 铁镣清算
l0 清算
t0 支付2点法力：对手的下个回合少3点法力。
## Manacle Silver Spoon
n 铁镣银汤匙
l0 生来好命
t0 此卡被召唤时，你有5点以上法力的场合：抽1张卡。
l1 老钱
t1 改为支付2点法力，你有8点以上法力的场合：抽2张卡。
## Manacle Tollkeeper
n 铁镣收费员
l0 过路费
t0 此卡被通常召唤的场合：对手的下个回合少1点法力。
## Manacle Usurer
n 铁镣放贷人
l0 催还贷款
t0 每回合一次，双方回合皆可：对手失去1点法力。
l1 利滚利
t1 改为支付3点法力：对手的下个回合少3点法力。
l2 找到欠债人
t2 你可以支付2点法力：从你的卡组把1只1级暗属性怪兽加入手牌。
## Manacle Vault Door
n 铁镣金库大门
l0 利息累积
t0 在你的准备阶段：获得1点法力。
l1 摔上库门
t1 每回合一次——支付2点法力：对手失去1点法力。
## Manacle Wage Garnish
n 铁镣工资扣押
l0 工资扣押
t0 对手的下个回合少1点法力；你的下个回合多1点。
l1 全额扣押
t1 改为支付3点法力：少2点／多2点。
## Manacle, the Crown Debt
n 铁镣·王冠之债
s 你有8点以上可用法力。费用5点法力。
l0 王冠来收账
t0 此卡被召唤时：对手失去3点法力。
l1 王室分红
t1 支付4点法力：抽2张卡；你的下个回合多2点法力。
## Manacle, the Final Ledger
n 铁镣·最终账簿
s 你有7点以上可用法力且你的墓地有6张以上的卡。费用4点法力。
l0 合上账本
t0 此卡被召唤时：对手的下个回合少3点法力，你的下个回合多2点。
l1 强制止赎
t1 改为支付5点法力：对手的下个回合少5点法力。
l2 念出名单
t2 你可以支付2点法力：从你的卡组把1只1级暗属性怪兽加入手牌。
## Marrow, Who Holds Every Card
n 手握每张牌的马罗
l0 也给我发一张
t0 支付2点法力：抽1张卡，然后对手抽1张卡。
## Maw of the Underworld
n 冥界之口
l0 饥饿巨口
t0 破坏你控制的1只怪兽；你控制的1只怪兽获得800攻击力，直到本回合结束。
## Mechination Assemblage
n 机谋组合体
s 你控制2只以上怪兽。费用2点法力。
l0 严丝合缝
t0 此卡被召唤时：从你的卡组把1只2级地属性怪兽加入手牌。
l1 回收利用
t1 你可以支付2点法力：从你的墓地特殊召唤1只1级地属性怪兽。
## Mechination Assembly Line
n 机谋流水线
l0 夜班
t0 在你的准备阶段：从你的墓地把1只1级地属性怪兽加入手牌。
l1 加急订单
t1 你可以支付2点法力：从你的卡组把1只1级地属性怪兽加入手牌。
## Mechination Blueprint
n 机谋蓝图
l0 蓝图
t0 支付1点法力：从你的卡组把1只1级地属性怪兽加入手牌；获得1点法力。
## Mechination Boltling
n 机谋螺栓仔
l0 吊上来
t0 每回合一次：从你的手牌特殊召唤1只攻击力1000以下的1级怪兽。
l1 吊回来
t1 改为支付3点法力：从你的墓地特殊召唤1只1级怪兽。
## Mechination Cogwright
n 机谋齿轮匠
l0 看图纸
t0 此卡被通常召唤的场合：从你的卡组把1只1级地属性怪兽加入手牌。
l1 装上零件
t1 你可以支付2点法力：从你的手牌特殊召唤1只1级地属性怪兽。
## Mechination Crumple Zone
n 机谋溃缩区
l0 强化车架
t0 每回合一次：支付2点法力；你控制的1只机械族怪兽永久获得400守备力。
## Mechination Emergency Shift
n 机谋紧急排班
l0 紧急排班
t0 从你的手牌特殊召唤至多2只机械族怪兽。
l1 全员到岗
t1 改为支付3点法力：它们获得300守备力，直到本回合结束。
## Mechination Gear Vault
n 机谋齿轮库
l0 申领零件
t0 每回合一次——支付2点法力：从你的卡组把1只2级地属性怪兽加入手牌。
## Mechination Gearmaw
n 机谋齿噬口
l0 卡住机件
t0 你可以支付2点法力：对手控制的1只怪兽本回合不能攻击。
## Mechination Hammerhand
n 机谋锤拳
l0 叫重型的来
t0 此卡被召唤时：从你的卡组把1只2级地属性怪兽加入手牌。
l1 叫小型的来
t1 你可以支付2点法力：从你的卡组把1只1级地属性怪兽加入手牌。
## Mechination Jumpstart
n 机谋跨接启动
l0 跨接启动
t0 此卡被召唤时：你控制的另1只机械族怪兽获得300攻击力，直到本回合结束。
l1 满电启动
t1 改为支付1点法力：该加成变为永久。
## Mechination Kilnwarden
n 机谋窑炉看守
l0 重铸
t0 每回合一次：从你的墓地特殊召唤1只1级地属性怪兽。
l1 重铸两次
t1 改为支付2点法力：从你的墓地特殊召唤至多2只1级地属性怪兽。
## Mechination Night Shift
n 机谋夜班组
l0 夜班
t0 此卡被召唤时：从你的墓地把1只机械族怪兽返回手牌。
l1 两班倒
t1 改为支付2点法力：从你的墓地把2只机械族怪兽返回手牌。
l2 加班
t2 每回合一次：支付2点法力；此卡永久获得300攻击力。
## Mechination Overdrive
n 机谋超速运转
l0 超速运转
t0 支付2点法力：从你的手牌特殊召唤1只机械族怪兽。
## Mechination Overseer
n 机谋监工
l0 第二班
t0 每回合一次：你控制的1只攻击力1500以下的机械族怪兽本回合可以攻击两次。
l1 两班连转
t1 改为支付4点法力：你控制的至多2只机械族怪兽本回合各可以攻击两次。
l2 超频
t2 你可以支付2点法力：你控制的1只机械族怪兽获得600攻击力，直到本回合结束。
## Mechination Pistonlord
n 机谋活塞之主
l0 一冲而过
t0 此卡被召唤时：破坏对手控制的1只攻击力1500以下的怪兽。
l1 冲得更狠
t1 你可以支付3点法力：破坏对手控制的1只攻击力2500以下的怪兽。
## Mechination Production Quota
n 机谋生产指标
l0 完成指标
t0 从你的墓地把至多2只1级地属性怪兽加入手牌。
l1 超额完成
t1 改为支付2点法力：特殊召唤其中1只。
## Mechination Ratchet
n 机谋棘轮
l0 再紧一格
t0 此卡被召唤时：获得1点法力。
## Mechination Recall Notice
n 机谋召回通知
l0 召回通知
t0 支付1点法力：把你控制的1只机械族怪兽返回手牌；获得1点法力。
l1 全额退款
t1 改为支付2点法力：另外抽1张卡。
## Mechination Recast
n 机谋重铸
l0 重铸
t0 支付1点法力：从你的墓地特殊召唤1只1级怪兽。
## Mechination Rivetrunner
n 机谋铆钉快递员
l0 冲刺流水线
t0 此卡被通常召唤的场合：从你的墓地特殊召唤1只1级地属性怪兽。
l1 新鲜下线
t1 改为支付2点法力：改为从你的卡组（攻击力1000以下）。
## Mechination Shift Supervisor
n 机谋班组长
l0 两班连转
t0 每回合一次——支付2点法力：你控制的1只机械族怪兽本回合可以攻击两次。
## Mechination Spindle
n 机谋纺轴
l0 松开发条
t0 每回合一次：把此卡从手牌送入墓地；从你的墓地特殊召唤1只1级机械族怪兽。
## Mechination Trade-In
n 机谋以旧换新
l0 以旧换新
t0 支付1点法力：破坏你控制的1张神器；从你的卡组把1张神器加入手牌并获得1点法力。
l1 忠诚奖励
t1 改为支付1点法力：另外获得2点法力。
## Mechination Worldgear
n 机谋世界齿轮
s 你控制3只以上怪兽且墓地有5张以上的卡 — 支付4法力。
l0 伟大的转动
t0 此卡被召唤时：从你的墓地特殊召唤至多2只1级地属性怪兽。
l1 更伟大的转动
t1 改为支付3点法力：从你的墓地特殊召唤至多2只2级地属性怪兽。
l2 拆掉齿轮
t2 你可以支付3点法力：破坏对手控制的1张卡。
## Mechination, Prime Motor
n 机谋·原动机
s 你控制3只以上“机谋”怪兽。费用3点法力。
l0 万古扭矩
t0 此卡被召唤时：你控制的至多2只机械族怪兽永久获得400攻击力。
l1 夜班总动员
t1 支付3点法力：从你的墓地特殊召唤至多2只1级地属性怪兽。
## Method Actor
n 方法派演员
l0 方法派演技
t0 此卡被召唤时：其攻击力与守备力变为场上1只怪兽的数值，直到本回合结束。
l1 抢戏
t1 改为支付1点法力：再额外获得300攻击力。
## Middle Management
n 中层管理
l0 放权
t0 每回合一次：支付1点法力；从你的手牌特殊召唤1只1级怪兽。
## Mimicrypt Archivist
n 拟墓档案管理员
l0 借走原件
t0 支付3点法力：获得对手控制的1只怪兽的控制权，直到结束阶段。
## Mimicrypt Borrowed Words
n 拟墓借来的话语
l0 借来的话语
t0 选择对手墓地中的1张法术；把其效果当作你自己的来处理。
l1 据为己有的话语
t1 改为支付3点法力：然后将其放逐。
## Mimicrypt Cold Read
n 拟墓冷读术
l0 冷读
t0 查看对手的手牌并选择其中1张；对手将其丢弃。
l1 深度解读
t1 改为支付4点法力：另外抽1张卡。
## Mimicrypt Encore
n 拟墓返场
l0 安可！
t0 把对手控制的1只怪兽的复制品特殊召唤到你的场上。它在结束阶段消失。
## Mimicrypt Forgery
n 拟墓赝品
l0 完美赝品
t0 你控制的1只怪兽复制对手控制的1只怪兽的攻击力与守备力，直到本回合结束。
## Mimicrypt Ghoul
n 拟墓食尸鬼
l0 盗墓
t0 此卡被召唤时：从对手的墓地放逐1张卡。
l1 双份收获
t1 改为支付1点法力：放逐至多2张。
## Mimicrypt Mirrorborn
n 拟墓镜生者
l0 镜像架势
t0 每回合一次：此卡复制场上1只怪兽的攻击力与守备力，直到本回合结束。
l1 完美倒影
t1 改为支付2点法力：它本回合也不会被战斗破坏。
## Mimicrypt Siphon
n 拟墓虹吸
l0 抽走原型
t0 对手控制的1只怪兽失去400攻击力；你控制的1只怪兽获得400攻击力。
## Mimicrypt Understudy
n 拟墓替补演员
l0 偷走这场戏
t0 支付2点法力：选择对手墓地中的1张法术——把其效果当作你自己的来处理。
## Mimicrypt Wax Museum
n 拟墓蜡像馆
l0 新展品
t0 每回合一次——支付3点法力：从对手的墓地特殊召唤1只怪兽到你的场上。
## Mimicrypt Waxchild
n 拟墓蜡童
l0 借来的脸
t0 此卡被召唤时：此卡复制场上1只怪兽的攻击力与守备力，直到本回合结束。
